Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-07-02,2,7900,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner
2022-06-14,2,9000,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-15,1,4000,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-15,3,6500,1600,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-28,1,8000,400,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-22,2,7000,1000,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-18,1,5300,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-25,2,6000,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-22,2,8500,800,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,2,12500,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-21,1,7500,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-03,2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-05-31,2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-10,2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-24,1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
2022-06-26,1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-06,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-20,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-07-02,2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
2022-05-26,3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,1,7500,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,7500,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-03,2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-23,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-27,1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-07-02,2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,8500,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-02,1,5000,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-21,3,30000,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-04,2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-24,3,30000,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-02,1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,7500,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-18,2,6500,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,7500,680,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,7500,680,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,16000,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-26,2,16000,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-30,2,6500,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-22,3,40000,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-18,2,12500,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,2,5500,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,5000,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-03,2,6500,700,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-12,1,8000,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-01,3,14500,1800,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,8200,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,15000,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-21,6,20000,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,2,6700,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,10000,435,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-07,2,7000,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-25,2,22000,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2022-06-27,2,6500,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-31,2,8500,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-03,2,18000,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-27,2,12000,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-15,1,9000,600,2 out of 4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,1,6000,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,20000,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,5000,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-28,2,12000,1200,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-23,2,10000,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-06-13,2,15000,900,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-13,3,22000,1300,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-13,4,35000,1600,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-14,3,21000,1450,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-07-06,2,25000,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent
2022-06-16,2,180000,950,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-06,1,6000,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,14000,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,3,8000,750,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner
2022-05-04,2,8000,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-25,1,6000,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-21,1,8000,300,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-27,1,6000,300,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-02,1,20000,700,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-06,3,12000,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,3,15000,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,2,14000,1000,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-30,1,5000,20,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-10,2,7000,400,Ground out of 2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-23,1,3900,200,2 out of 2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,3,14000,840,1 out of 4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-19,1,6300,300,1 out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-03,2,13000,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2022-07-03,1,6800,300,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-14,2,8000,800,1 out of 1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,10000,740,Ground out of 6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-25,2,18000,1300,1 out of 1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-13,2,8000,650,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,2,8000,490,1 out of 1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,4700,250,2 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
